ActualPower;Max Capacity;Location 1;Location 2;Location 3;Location 4
3.467;43.75;7.1;6.406;6.221;7.068
2.607;43.75;6.4;6.378;6.246;7.044
3.529;43.75;6.5;6.361;6.267;7.015
4.449;43.75;6.5;6.337;6.262;6.975
4.012;43.75;6.5;6.327;6.251;6.96
3.21;43.75;6;6.318;6.236;6.947
3.1;43.75;6.6;6.313;6.233;6.94
2.628;43.75;6.1;6.312;6.233;6.944
2.378;43.75;6.5;6.339;6.247;6.991
1.917;43.75;6.1;6.416;6.274;7.101
1.853;43.75;5.5;6.49;6.278;7.223
2.358;43.75;5.1;6.554;6.248;7.34
2.533;43.75;4.7;6.583;6.193;7.419
3.26;43.75;4.2;6.571;6.118;7.445
4.208;43.75;4.4;6.505;6.028;7.391
4.222;43.75;4.5;6.4;5.937;7.282
6.178;43.75;4.4;6.294;5.885;7.172
5.649;43.75;4.2;6.216;5.88;7.094
3.018;43.75;4.4;6.151;5.878;7.02
3.89;43.75;4.9;6.085;5.868;6.946
3.707;43.75;4.3;6.016;5.854;6.87
2.827;43.75;5;5.94;5.836;6.79
3.734;43.75;5.2;5.857;5.823;6.701
;43.75;5;5.768;5.804;6.605
2.706;43.75;4.5;5.682;5.774;6.512
1.406;43.75;4;5.6;5.733;6.415
1.2;43.75;3.2;1.722;2.591;1.489
2.147;43.75;3.6;1.767;2.469;1.5
1.234;43.75;3.9;1.781;2.387;1.505
3.378;43.75;4.3;1.789;2.311;1.52
